,Name,mfg_num,lrv,rgb,category,hexcode
368,Svelte,M100-3,LRV 40,"['R 184', 'G 163', 'B 187']",Red color family,background-color:#B8A3BB;
370,Passion Fruit,M100-5,LRV 22,"['R 144', 'G 120', 'B 149']",,background-color:#907895;
371,Vintner,M100-6,LRV 10,"['R 104', 'G 84', 'B 106']",,background-color:#68546A;
372,Deep Merlot,M100-7,LRV 7,"['R 87', 'G 73', 'B 88']",,background-color:#574958;
373,Cassia Buds,M110-2,LRV 64,"['R 224', 'G 205', 'B 218']",Red color family,background-color:#E0CDDA;
374,Bedazzled,M110-3,LRV 53,"['R 211', 'G 185', 'B 204']",,background-color:#D3B9CC;
375,Cherished,M110-4,LRV 36,"['R 186', 'G 151', 'B 177']",Red color family,background-color:#BA97B1;
376,Amazonian Orchid,M110-5,LRV 26,"['R 167', 'G 129', 'B 157']",Red color family,background-color:#A7819D;
377,Sophisticated Lilac,M110-6,LRV 19,"['R 149', 'G 108', 'B 135']",,background-color:#956C87;
378,Euphoric Magenta,M110-7,LRV 12,"['R 127', 'G 87', 'B 109']",Red color family,background-color:#7F576D;
379,Kiss Good Night,M120-2,LRV 63,"['R 229', 'G 200', 'B 217']",,background-color:#E5C8D9;
380,Pink Wink,M120-3,LRV 54,"['R 221', 'G 184', 'B 206']",Red color family,background-color:#DDB8CE;
381,Heart To Heart,M120-4,LRV 46,"['R 212', 'G 169', 'B 195']",Red color family,background-color:#D4A9C3;
382,Rosy,M120-5,LRV 32,"['R 190', 'G 137', 'B 168']",Red color family,background-color:#BE89A8;
383,Love Poem,M120-6,LRV 18,"['R 160', 'G 101', 'B 130']",Red color family,background-color:#A06582;
384,Raspberry Crush,M120-7,LRV 12,"['R 135', 'G 81', 'B 105']",Red color family,background-color:#875169;
385,Wild Geranium,M130-3,LRV 55,"['R 223', 'G 187', 'B 202']",Red color family,background-color:#DFBBCA;
386,Raspberry Smoothie,M130-4,LRV 42,"['R 208', 'G 161', 'B 180']",,background-color:#D0A1B4;
388,Tropical Hibiscus,M130-6,LRV 17,"['R 156', 'G 96', 'B 113']",Red color family,background-color:#9C6071;
389,Sugar Beet,M130-7,LRV 9,"['R 131', 'G 66', 'B 83']",,background-color:#834253;
390,Funny Face,M140-2,LRV 64,"['R 237', 'G 200', 'B 206']",Red color family,background-color:#EDC8CE;
391,Premium Pink,M140-3,LRV 54,"['R 230', 'G 182', 'B 190']",,background-color:#E6B6BE;
392,Fruit Cocktail,M140-4,LRV 33,"['R 208', 'G 137', 'B 149']",Red color family,background-color:#D08995;
393,Cherry Fizz,M140-5,LRV 22,"['R 189', 'G 105', 'B 115']",,background-color:#BD6973;
394,Circus Red,M140-6,LRV 12,"['R 149', 'G 74', 'B 76']",,background-color:#954A4C;
395,Peppermint Stick,M150-2,LRV 56,"['R 232', 'G 185', 'B 190']",Red color family,background-color:#E8B9BE;
396,Apple Blossom,M150-3,LRV 46,"['R 224', 'G 167', 'B 173']",Red color family,background-color:#E0A7AD;
397,Glow Pink,M150-4,LRV 39,"['R 216', 'G 151', 'B 158']",,background-color:#D8979E;
398,Enamored,M150-5,LRV 28,"['R 198', 'G 125', 'B 132']",,background-color:#C67D84;
399,Lingonberry Punch,M150-6,LRV 16,"['R 169', 'G 86', 'B 87']",Red color family,background-color:#A95657;
400,Indian Sunset,M170-5,LRV 35,"['R 217', 'G 138', 'B 125']",Red color family,background-color:#D98A7D;
401,Dash Of Curry,M170-6,LRV 25,"['R 202', 'G 110', 'B 95']",,background-color:#CA6E5F;
402,Tandoori,M170-7,LRV 19,"['R 187', 'G 92', 'B 77']",Orange color family,background-color:#BB5C4D;
403,Everblooming,M190-2,LRV 63,"['R 240', 'G 200', 'B 182']",Orange color family,background-color:#F0C8B6;
404,Pink Abalone,M190-3,LRV 54,"['R 233', 'G 184', 'B 164']",Orange color family,background-color:#E9B8A4;
405,California Coral,M190-4,LRV 47,"['R 227', 'G 170', 'B 148']",Orange color family,background-color:#E3AA94;
406,Fireplace Glow,M190-5,LRV 33,"['R 208', 'G 139', 'B 115']",Orange color family,background-color:#D08B73;
407,Fruit Salad,M200-2,LRV 64,"['R 241', 'G 202', 'B 181']",Orange color family,background-color:#F1CAB5;
408,Sunset Drive,M200-3,LRV 56,"['R 234', 'G 187', 'B 162']",Orange color family,background-color:#EABBA2;
409,Coral Cloud,M200-4,LRV 48,"['R 227', 'G 172', 'B 146']",Orange color family,background-color:#E3AC92;
410,Terra Cotta Clay,M200-5,LRV 34,"['R 208', 'G 143', 'B 115']",Orange color family,background-color:#D08F73;
411,Apricot Freeze,M210-3,LRV 67,"['R 243', 'G 207', 'B 183']",,background-color:#F3CFB7;
412,Peach Shortcake,M210-4,LRV 52,"['R 231', 'G 180', 'B 149']",Orange color family,background-color:#E7B495;
413,Candied Yams,M210-5,LRV 38,"['R 214', 'G 152', 'B 117']",,background-color:#D69875;
414,Fall Foliage,M220-7A,LRV 24,"['R 194', 'G 113', 'B 70']",,background-color:#C27146;
415,Cactus Blooms,M230-4,LRV 63,"['R 246', 'G 199', 'B 157']",Orange color family,background-color:#F6C79D;
416,Sweet Curry,M230-5,LRV 46,"['R 232', 'G 167', 'B 115']",Orange color family,background-color:#E8A773;
417,Amiable Orange,M230-6,LRV 38,"['R 223', 'G 150', 'B 91']",Orange color family,background-color:#DF965B;
418,Rumba Orange,M230-7,LRV 27,"['R 199', 'G 123', 'B 66']",Orange color family,background-color:#C77B42;
419,Ice Cream Parlour,M240-3,LRV 69,"['R 247', 'G 211', 'B 173']",Orange color family,background-color:#F7D3AD;
420,Sheer Apricot,M240-4,LRV 63,"['R 243', 'G 201', 'B 157']",Orange color family,background-color:#F3C99D;
421,Squash Bisque,M240-5,LRV 50,"['R 231', 'G 177', 'B 124']",Orange color family,background-color:#E7B17C;
422,Stunning Gold,M240-6,LRV 39,"['R 218', 'G 154', 'B 93']",Orange color family,background-color:#DA9A5D;
423,Golden Pumpkin,M240-7,LRV 31,"['R 202', 'G 136', 'B 75']",Orange color family,background-color:#CA884B;
424,Golden Pastel,M250-2,LRV 73,"['R 244', 'G 217', 'B 185']",Orange color family,background-color:#F4D9B9;
425,Apple Turnover,M250-3,LRV 57,"['R 232', 'G 193', 'B 148']",Orange color family,background-color:#E8C194;
426,Cake Spice,M250-4,LRV 43,"['R 214', 'G 166', 'B 114']",Orange color family,background-color:#D6A672;
427,Lunch Box,M260-4,LRV 63,"['R 242', 'G 202', 'B 149']",Yellow color family,background-color:#F2CA95;
428,Mac N Cheese,M260-5,LRV 49,"['R 228', 'G 176', 'B 112']",,background-color:#E4B070;
429,Cream Custard,M270-3,LRV 71,"['R 242', 'G 215', 'B 176']",,background-color:#F2D7B0;
430,Filtered Moon,M270-4,LRV 62,"['R 236', 'G 202', 'B 154']",Yellow color family,background-color:#ECCA9A;
431,Beehive,M270-5,LRV 52,"['R 225', 'G 183', 'B 129']",Yellow color family,background-color:#E1B781;
432,Glazed Pears,M270-6,LRV 36,"['R 205', 'G 153', 'B 86']",Yellow color family,background-color:#CD9956;
433,Wild Ginger,M270-7,LRV 27,"['R 183', 'G 133', 'B 69']",Yellow color family,background-color:#B78545;
434,Champagne Wishes,M280-3,LRV 69,"['R 239', 'G 212', 'B 174']",Yellow color family,background-color:#EFD4AE;
435,Royal Gold,M280-4,LRV 54,"['R 225', 'G 188', 'B 138']",Yellow color family,background-color:#E1BC8A;
436,Inheritance,M280-5,LRV 46,"['R 215', 'G 174', 'B 119']",Orange color family,background-color:#D7AE77;
437,Solid Gold,M280-6,LRV 37,"['R 201', 'G 155', 'B 95']",Yellow color family,background-color:#C99B5F;
438,24 Karat,M280-7,LRV 24,"['R 171', 'G 127', 'B 70']",Yellow color family,background-color:#AB7F46;
439,Corn Stalk,M290-3,LRV 74,"['R 252', 'G 219', 'B 166']",Yellow color family,background-color:#FCDBA6;
440,Garbanzo Paste,M290-4,LRV 60,"['R 238', 'G 198', 'B 132']",Yellow color family,background-color:#EEC684;
441,English Custard,M290-5,LRV 51,"['R 226', 'G 182', 'B 108']",Yellow color family,background-color:#E2B66C;
442,Plantain Chips,M290-6,LRV 42,"['R 214', 'G 165', 'B 80']",Yellow color family,background-color:#D6A550;
443,Turmeric,M290-7,LRV 31,"['R 192', 'G 143', 'B 52']",Yellow color family,background-color:#C08F34;
444,Taj Mahal,M300-2,LRV 75,"['R 242', 'G 222', 'B 187']",Yellow color family,background-color:#F2DEBB;
445,Harmonious Gold,M300-3,LRV 65,"['R 234', 'G 207', 'B 163']",Yellow color family,background-color:#EACFA3;
446,Gilded,M300-4,LRV 49,"['R 215', 'G 181', 'B 124']",Yellow color family,background-color:#D7B57C;
447,Ginger Jar,M300-5,LRV 38,"['R 198', 'G 160', 'B 94']",Yellow color family,background-color:#C6A05E;
448,Indian Spice,M300-6,LRV 27,"['R 174', 'G 136', 'B 69']",Yellow color family,background-color:#AE8845;
450,Proper Temperature,M310-2,LRV 78,"['R 237', 'G 229', 'B 199']",Yellow color family,background-color:#EDE5C7;
451,Champagne Cocktail,M310-3,LRV 68,"['R 227', 'G 215', 'B 174']",Yellow color family,background-color:#E3D7AE;
452,Almondine,M310-4,LRV 55,"['R 212', 'G 196', 'B 147']",,background-color:#D4C493;
453,Chilled Wine,M310-5,LRV 42,"['R 192', 'G 171', 'B 110']",Yellow color family,background-color:#C0AB6E;
454,Bitter Lemon,M310-6,LRV 30,"['R 170', 'G 147', 'B 87']",Yellow color family,background-color:#AA9357;
456,Brushstroke,M320-3,LRV 75,"['R 241', 'G 223', 'B 186']",,background-color:#F1DFBA;
457,Abstract,M320-4,LRV 61,"['R 228', 'G 203', 'B 151']",Yellow color family,background-color:#E4CB97;
458,Dried Chamomile,M320-5,LRV 47,"['R 209', 'G 179', 'B 117']",Yellow color family,background-color:#D1B375;
459,Tangy Green,M320-6,LRV 35,"['R 187', 'G 155', 'B 82']",Yellow color family,background-color:#BB9B52;
460,Thai Curry,M320-7,LRV 21,"['R 149', 'G 124', 'B 53']",,background-color:#957C35;
461,Chanoyu,M330-1,LRV 80,"['R 238', 'G 232', 'B 210']",Yellow color family,background-color:#EEE8D2;
462,Flowery,M330-2,LRV 71,"['R 228', 'G 220', 'B 191']",Yellow color family,background-color:#E4DCBF;
463,Sweet Jasmine,M330-3,LRV 63,"['R 218', 'G 208', 'B 173']",,background-color:#DAD0AD;
464,Morning Tea,M330-4,LRV 51,"['R 202', 'G 189', 'B 148']",Yellow color family,background-color:#CABD94;
465,Fresh Brew,M330-5,LRV 40,"['R 184', 'G 170', 'B 125']",Yellow color family,background-color:#B8AA7D;
466,Keemun,M330-6,LRV 30,"['R 164', 'G 148', 'B 99']",,background-color:#A49463;
467,Green Tea Leaf,M330-7,LRV 19,"['R 135', 'G 120', 'B 75']",Yellow color family,background-color:#87784B;
468,Modern Zen,M340-3A,LRV 72,"['R 224', 'G 222', 'B 178']",Green color family,background-color:#E0DEB2;
469,Wasabi,M340-4,LRV 59,"['R 208', 'G 205', 'B 148']",,background-color:#D0CD94;
471,Spinach Dip,M340-6,LRV 29,"['R 148', 'G 151', 'B 88']",Green color family,background-color:#949758;
472,Classic Avocado,M340-7,LRV 15,"['R 110', 'G 112', 'B 66']",,background-color:#6E7042;
473,Aloe Nectar,M350-2,LRV 74,"['R 223', 'G 226', 'B 201']",,background-color:#DFE2C9;
475,Sweet Grass,M350-4,LRV 45,"['R 178', 'G 182', 'B 138']",Green color family,background-color:#B2B68A;
476,Mossy Cavern,M350-5,LRV 38,"['R 164', 'G 169', 'B 123']",Green color family,background-color:#A4A97B;
477,Frog,M350-6,LRV 27,"['R 136', 'G 149', 'B 81']",Green color family,background-color:#889551;
478,Healing Plant,M350-7,LRV 18,"['R 108', 'G 125', 'B 66']",,background-color:#6C7D42;
479,White Radish,M360-2,LRV 78,"['R 226', 'G 232', 'B 207']",,background-color:#E2E8CF;
480,Avocado Whip,M360-3,LRV 64,"['R 205', 'G 214', 'B 177']",Green color family,background-color:#CDD6B1;
481,Marjoram,M360-4,LRV 57,"['R 191', 'G 203', 'B 162']",Green color family,background-color:#BFCBA2;
482,Fresh Guacamole,M360-5,LRV 40,"['R 162', 'G 176', 'B 126']",Green color family,background-color:#A2B07E;
483,Bold Avocado,M360-6,LRV 27,"['R 135', 'G 149', 'B 80']",,background-color:#879550;
484,Rockwall Vine,M360-7,LRV 19,"['R 109', 'G 126', 'B 66']",Green color family,background-color:#6D7E42;
485,Cabbage Leaf,M370-2,LRV 78,"['R 223', 'G 232', 'B 208']",Green color family,background-color:#DFE8D0;
486,Spice Garden,M370-3,LRV 64,"['R 201', 'G 214', 'B 180']",Green color family,background-color:#C9D6B4;
487,Chervil Leaves,M370-4,LRV 47,"['R 171', 'G 189', 'B 144']",Green color family,background-color:#ABBD90;
488,Agave Plant,M370-5,LRV 30,"['R 135', 'G 156', 'B 103']",Green color family,background-color:#879C67;
489,Snip Of Parsley,M370-6,LRV 22,"['R 113', 'G 136', 'B 84']",Green color family,background-color:#718854;
490,Mown Grass,M370-7,LRV 17,"['R 98', 'G 121', 'B 72']",Green color family,background-color:#627948;
491,Cavan,M380-1,LRV 74,"['R 220', 'G 226', 'B 206']",Green color family,background-color:#DCE2CE;
492,Glade Green,M380-2,LRV 67,"['R 208', 'G 217', 'B 192']",Green color family,background-color:#D0D9C0;
493,Growing Season,M380-3,LRV 58,"['R 195', 'G 205', 'B 176']",Green color family,background-color:#C3CDB0;
494,Chopped Dill,M380-4,LRV 51,"['R 182', 'G 194', 'B 161']",Green color family,background-color:#B6C2A1;
496,Fern Canopy,M380-6,LRV 23,"['R 117', 'G 138', 'B 95']",,background-color:#758A5F;
497,Misty Meadow,M390-2,LRV 80,"['R 221', 'G 236', 'B 213']",Green color family,background-color:#DDECD5;
498,Galway,M390-3,LRV 67,"['R 196', 'G 221', 'B 187']",Green color family,background-color:#C4DDBB;
499,Gingko,M390-4,LRV 51,"['R 163', 'G 200', 'B 153']",Green color family,background-color:#A3C899;
500,Sage Garden,M390-5,LRV 35,"['R 127', 'G 171', 'B 112']",Green color family,background-color:#7FAB70;
501,Belfast,M390-6,LRV 22,"['R 85', 'G 141', 'B 79']",Green color family,background-color:#558D4F;
502,Hills Of Ireland,M390-7,LRV 16,"['R 65', 'G 123', 'B 66']",Green color family,background-color:#417B42;
503,Establish Mint,M400-1,LRV 82,"['R 226', 'G 237', 'B 221']",Green color family,background-color:#E2EDDD;
504,Glass Tile,M400-2,LRV 77,"['R 217', 'G 231', 'B 212']",Green color family,background-color:#D9E7D4;
505,Bok Choy,M400-3,LRV 62,"['R 191', 'G 213', 'B 185']",Green color family,background-color:#BFD5B9;
506,Brookview,M400-4,LRV 43,"['R 153', 'G 183', 'B 146']",Green color family,background-color:#99B792;
507,Baby Spinach,M400-5,LRV 35,"['R 137', 'G 168', 'B 130']",Green color family,background-color:#89A882;
508,Mixed Veggies,M400-6,LRV 25,"['R 113', 'G 145', 'B 102']",Green color family,background-color:#719166;
509,Garden Cucumber,M400-7,LRV 13,"['R 80', 'G 106', 'B 72']",Green color family,background-color:#506A48;
510,Wishful Green,M410-2,LRV 71,"['R 200', 'G 226', 'B 204']",Green color family,background-color:#C8E2CC;
511,Enchanted Meadow,M410-3,LRV 60,"['R 177', 'G 212', 'B 183']",Green color family,background-color:#B1D4B7;
512,Garden Swing,M410-4,LRV 44,"['R 140', 'G 189', 'B 151']",Green color family,background-color:#8CBD97;
513,Green Bank,M410-5,LRV 37,"['R 121', 'G 176', 'B 136']",,background-color:#79B088;
514,Turtle Creek,M410-6,LRV 24,"['R 101', 'G 146', 'B 109']",Green color family,background-color:#65926D;
515,Perennial Green,M410-7,LRV 12,"['R 71', 'G 105', 'B 79']",Green color family,background-color:#47694F;
516,Green Aqua,M420-2,LRV 76,"['R 208', 'G 232', 'B 219']",Blue color family,background-color:#D0E8DB;
517,Mirador,M420-3,LRV 66,"['R 188', 'G 220', 'B 205']",Blue color family,background-color:#BCDCCD;
518,Jade Mountain,M420-4,LRV 49,"['R 151', 'G 195', 'B 176']",Blue color family,background-color:#97C3B0;
519,Free Green,M420-5,LRV 33,"['R 116', 'G 166', 'B 144']",Blue color family,background-color:#74A690;
520,Tournament Field,M420-6,LRV 19,"['R 84', 'G 131', 'B 107']",Blue color family,background-color:#54836B;
521,Billiard Green,M420-7,LRV 12,"['R 68', 'G 103', 'B 85']",Blue color family,background-color:#446755;
522,Snowbound,M430-1,LRV 80,"['R 221', 'G 235', 'B 227']",Blue color family,background-color:#DDEBE3;
523,Ice Rink,M430-2,LRV 70,"['R 203', 'G 223', 'B 214']",Blue color family,background-color:#CBDFD6;
524,Wintergreen Dream,M430-3,LRV 57,"['R 177', 'G 205', 'B 194']",Blue color family,background-color:#B1CDC2;
525,Sunstone,M430-4,LRV 46,"['R 153', 'G 188', 'B 174']",Blue color family,background-color:#99BCAE;
526,Regal View,M430-5,LRV 30,"['R 116', 'G 158', 'B 143']",Blue color family,background-color:#749E8F;
527,Park Bench,M430-6,LRV 18,"['R 83', 'G 127', 'B 108']",Blue color family,background-color:#537F6C;
528,Green Agate,M430-7,LRV 10,"['R 63', 'G 98', 'B 83']",Blue color family,background-color:#3F6253;
529,Rio Sky,M440-1,LRV 71,"['R 202', 'G 225', 'B 218']",Blue color family,background-color:#CAE1DA;
530,Serene Breeze,M440-2,LRV 65,"['R 189', 'G 217', 'B 208']",Blue color family,background-color:#BDD9D0;
531,Baby Aqua,M440-3,LRV 56,"['R 171', 'G 204', 'B 195']",Blue color family,background-color:#ABCCC3;
532,Summer Dragonfly,M440-4,LRV 37,"['R 131', 'G 173', 'B 163']",Blue color family,background-color:#83ADA3;
533,Lunar Tide,M440-5,LRV 27,"['R 111', 'G 150', 'B 139']",Blue color family,background-color:#6F968B;
534,Trellis Vine,M440-6,LRV 19,"['R 93', 'G 127', 'B 116']",Blue color family,background-color:#5D7F74;
535,Rainforest,M440-7,LRV 10,"['R 71', 'G 95', 'B 87']",Blue color family,background-color:#475F57;
536,Tidewater,M450-2,LRV 71,"['R 194', 'G 227', 'B 221']",Blue color family,background-color:#C2E3DD;
537,Wave Top,M450-3,LRV 63,"['R 175', 'G 217', 'B 211']",Blue color family,background-color:#AFD9D3;
538,Undine,M450-4,LRV 47,"['R 137', 'G 193', 'B 186']",,background-color:#89C1BA;
539,Aqua Rapids,M450-5,LRV 31,"['R 99', 'G 163', 'B 156']",Blue color family,background-color:#63A39C;
540,Bubble Turquoise,M450-6,LRV 18,"['R 67', 'G 129', 'B 122']",Blue color family,background-color:#43817A;
541,Beta Fish,M450-7,LRV 12,"['R 58', 'G 107', 'B 102']",Blue color family,background-color:#3A6B66;
542,Beachside Drive,M460-2,LRV 65,"['R 172', 'G 219', 'B 219']",,background-color:#ACDBDB;
543,Big Surf,M460-3,LRV 56,"['R 150', 'G 208', 'B 209']",Blue color family,background-color:#96D0D1;
544,Pure Turquoise,M460-4,LRV 45,"['R 122', 'G 190', 'B 194']",Blue color family,background-color:#7ABEC2;
545,Aqua Fresco,M460-5,LRV 29,"['R 74', 'G 159', 'B 163']",,background-color:#4A9FA3;
546,Thai Teal,M460-6,LRV 19,"['R 46', 'G 134', 'B 137']",Blue color family,background-color:#2E8689;
547,Antigua,M460-7,LRV 13,"['R 37', 'G 109', 'B 115']",Blue color family,background-color:#256D73;
548,Midwinter Mist,M470-3,LRV 60,"['R 165', 'G 212', 'B 220']",,background-color:#A5D4DC;
549,Azure Lake,M470-4,LRV 44,"['R 123', 'G 187', 'B 200']",Blue color family,background-color:#7BBBC8;
550,Explorer Blue,M470-5,LRV 31,"['R 87', 'G 163', 'B 179']",Blue color family,background-color:#57A3B3;
551,Precious Stone,M470-6,LRV 20,"['R 50', 'G 134', 'B 150']",Blue color family,background-color:#328696;
552,Blue Stream,M470-7,LRV 12,"['R 41', 'G 106', 'B 120']",Blue color family,background-color:#296A78;
553,Bengal Blue,M480-3,LRV 59,"['R 163', 'G 209', 'B 223']",Blue color family,background-color:#A3D1DF;
554,Below Zero,M480-4,LRV 43,"['R 120', 'G 184', 'B 204']",,background-color:#78B8CC;
555,North Pole Blue,M480-5A,LRV 30,"['R 85', 'G 160', 'B 183']",Blue color family,background-color:#55A0B7;
556,Valley Of Glaciers,M480-6,LRV 18,"['R 45', 'G 126', 'B 150']",Blue color family,background-color:#2D7E96;
557,Ice Cave,M480-7,LRV 12,"['R 43', 'G 103', 'B 125']",Blue color family,background-color:#2B677D;
558,Carefree Sky,M490-2,LRV 57,"['R 166', 'G 205', 'B 222']",Blue color family,background-color:#A6CDDE;
559,Speedboat,M490-3,LRV 48,"['R 144', 'G 191', 'B 212']",Blue color family,background-color:#90BFD4;
560,Frisky Blue,M490-4,LRV 40,"['R 123', 'G 177', 'B 201']",Blue color family,background-color:#7BB1C9;
561,Jet Ski,M490-5,LRV 26,"['R 84', 'G 146', 'B 175']",,background-color:#5492AF;
562,Living Stream,M490-6,LRV 14,"['R 55', 'G 112', 'B 140']",Blue color family,background-color:#37708C;
563,Shasta Lake,M490-7,LRV 10,"['R 53', 'G 92', 'B 116']",Blue color family,background-color:#355C74;
564,Early September,M500-2,LRV 58,"['R 173', 'G 205', 'B 220']",Purple color family,background-color:#ADCDDC;
565,Hemisphere,M500-4,LRV 21,"['R 82', 'G 133', 'B 164']",,background-color:#5285A4;
566,Sojourn Blue,M500-5,LRV 14,"['R 65', 'G 111', 'B 139']",Purple color family,background-color:#416F8B;
567,Express Blue,M500-6,LRV 9,"['R 57', 'G 90', 'B 115']",,background-color:#395A73;
568,Very Navy,M500-7,LRV 6,"['R 58', 'G 72', 'B 89']",Purple color family,background-color:#3A4859;
569,Sailor's Knot,M510-3,LRV 42,"['R 144', 'G 177', 'B 203']",Purple color family,background-color:#90B1CB;
570,Brittany Blue,M510-4,LRV 27,"['R 106', 'G 146', 'B 177']",Purple color family,background-color:#6A92B1;
571,Sailor's Bay,M510-5,LRV 15,"['R 73', 'G 111', 'B 142']",Purple color family,background-color:#496F8E;
572,Tidal,M510-6,LRV 11,"['R 64', 'G 96', 'B 124']",Purple color family,background-color:#40607C;
573,Inked,M510-7,LRV 8,"['R 59', 'G 80', 'B 102']",Purple color family,background-color:#3B5066;
574,Charismatic Sky,M520-3,LRV 50,"['R 154', 'G 193', 'B 220']",Purple color family,background-color:#9AC1DC;
575,Mirror Lake,M520-4,LRV 37,"['R 122', 'G 168', 'B 203']",Purple color family,background-color:#7AA8CB;
576,Alpha Blue,M520-5,LRV 24,"['R 88', 'G 139', 'B 180']",Purple color family,background-color:#588BB4;
577,National Anthem,M520-6,LRV 15,"['R 63', 'G 111', 'B 152']",Purple color family,background-color:#3F6F98;
578,Admiral Blue,M520-7,LRV 10,"['R 62', 'G 91', 'B 125']",Purple color family,background-color:#3E5B7D;
579,Sky's The Limit,M530-2,LRV 60,"['R 187', 'G 206', 'B 224']",,background-color:#BBCEE0;
580,Perennial Blue,M530-3,LRV 48,"['R 164', 'G 187', 'B 211']",Purple color family,background-color:#A4BBD3;
581,Washed Denim,M530-4,LRV 33,"['R 129', 'G 157', 'B 190']",Purple color family,background-color:#819DBE;
582,Cowgirl Blue,M530-5,LRV 23,"['R 106', 'G 135', 'B 171']",,background-color:#6A87AB;
583,Charter Blue,M530-6,LRV 15,"['R 84', 'G 110', 'B 145']",,background-color:#546E91;
584,Elegant Navy,M530-7,LRV 8,"['R 72', 'G 81', 'B 106']",,background-color:#48516A;
585,Eternal Elegance,M540-3,LRV 54,"['R 179', 'G 195', 'B 221']",,background-color:#B3C3DD;
586,Hopeful Dream,M540-4,LRV 39,"['R 149', 'G 169', 'B 205']",,background-color:#95A9CD;
587,Blue Satin,M540-5,LRV 30,"['R 126', 'G 149', 'B 190']",,background-color:#7E95BE;
588,Miracle Elixir,M540-6,LRV 19,"['R 97', 'G 123', 'B 166']",,background-color:#617BA6;
590,Foxglove,M550-3,LRV 55,"['R 193', 'G 194', 'B 215']",Purple color family,background-color:#C1C2D7;
591,Wisteria Blue,M550-4,LRV 42,"['R 170', 'G 171', 'B 200']",,background-color:#AAABC8;
592,Violet Aura,M550-5,LRV 27,"['R 138', 'G 139', 'B 174']",Purple color family,background-color:#8A8BAE;
593,Kimono Violet,M550-6,LRV 19,"['R 117', 'G 118', 'B 155']",Purple color family,background-color:#75769B;
594,Strong Iris,M550-7,LRV 12,"['R 94', 'G 95', 'B 126']",Purple color family,background-color:#5E5F7E;
595,Grape Hyacinth,M560-3,LRV 47,"['R 188', 'G 179', 'B 207']",Purple color family,background-color:#BCB3CF;
596,Evening Slipper,M560-4,LRV 37,"['R 169', 'G 158', 'B 193']",Purple color family,background-color:#A99EC1;
597,Second Pour,M560-5,LRV 22,"['R 136', 'G 124', 'B 164']",Purple color family,background-color:#887CA4;
598,Napa Winery,M560-6,LRV 12,"['R 106', 'G 92', 'B 125']",,background-color:#6A5C7D;
599,Muscat Grape,M560-7,LRV 9,"['R 94', 'G 80', 'B 103']",Purple color family,background-color:#5E5067;
600,Cyber Grape,M570-4,LRV 42,"['R 187', 'G 167', 'B 199']",Purple color family,background-color:#BBA7C7;
601,Celeb City,M570-5,LRV 27,"['R 157', 'G 134', 'B 173']",Purple color family,background-color:#9D86AD;
602,Notorious,M570-6,LRV 15,"['R 123', 'G 101', 'B 138']",Purple color family,background-color:#7B658A;
603,Paparazzi,M570-7,LRV 8,"['R 90', 'G 74', 'B 100']",Purple color family,background-color:#5A4A64;
604,Rule Breaker,MQ1-01,LRV 10,"['R 119', 'G 78', 'B 85']",,background-color:#774E55;
605,Wine Not,MQ1-02,LRV 11,"['R 134', 'G 76', 'B 88']",Red color family,background-color:#864C58;
606,Glitz And Glamour,MQ1-03,LRV 16,"['R 150', 'G 95', 'B 115']",Red color family,background-color:#965F73;
607,Dutchess Dawn,MQ1-04,LRV 43,"['R 201', 'G 167', 'B 172']",Red color family,background-color:#C9A7AC;
608,Rialto,MQ1-05,LRV 12,"['R 145', 'G 77', 'B 87']",Red color family,background-color:#914D57;
609,Sensuous,MQ1-06,LRV 19,"['R 183', 'G 94', 'B 107']",Red color family,background-color:#B75E6B;
610,Shine Baby Shine,MQ1-07,LRV 18,"['R 168', 'G 94', 'B 110']",Red color family,background-color:#A85E6E;
611,Smell The Roses,MQ1-08,LRV 24,"['R 187', 'G 114', 'B 131']",Red color family,background-color:#BB7283;
612,Haute Couture,MQ1-09,LRV 11,"['R 142', 'G 69', 'B 71']",,background-color:#8E4547;
613,Red My Mind,MQ1-10,LRV 11,"['R 153', 'G 67', 'B 65']",Red color family,background-color:#994341;
614,Drama Queen,MQ1-11,LRV 22,"['R 187', 'G 105', 'B 103']",Red color family,background-color:#BB6967;
615,Chick Flick,MQ1-12,LRV 27,"['R 191', 'G 125', 'B 128']",Red color family,background-color:#BF7D80;
616,Lady Guinevere,MQ1-13,LRV 40,"['R 202', 'G 160', 'B 158']",Red color family,background-color:#CAA09E;
617,Rumors,MQ1-15,LRV 8,"['R 116', 'G 66', 'B 69']",Red color family,background-color:#744245;
618,Carpe Diem,MQ1-16,LRV 13,"['R 144', 'G 87', 'B 85']",Red color family,background-color:#905755;
619,Autumn Russet,MQ1-17,LRV 21,"['R 164', 'G 116', 'B 110']",Red color family,background-color:#A4746E;
620,Pressed Blossoms,MQ1-18,LRV 35,"['R 194', 'G 150', 'B 139']",Red color family,background-color:#C2968B;
621,Rust,MQ1-20,LRV 13,"['R 136', 'G 90', 'B 81']",Red color family,background-color:#885A51;
622,Rich Brocade,MQ1-21,LRV 14,"['R 146', 'G 88', 'B 80']",Red color family,background-color:#925850;
623,Scene Stealer,MQ1-22,LRV 21,"['R 175', 'G 109', 'B 98']",Red color family,background-color:#AF6D62;
624,One To Remember,MQ1-23,LRV 55,"['R 220', 'G 189', 'B 173']",Orange color family,background-color:#DCBDAD;
