,id,name,category,collection,hex,lrv,link
89,T547,Manna,Yellow,The Classic Collection,#fbe6c8,81.374,valspar.com//en/colors/browse-colors/independent-retailers/yellow/manna-t547
90,2003-8C,Subtle Peach,Orange,2022 Color Of The Year,#fbe5d2,81.298,valspar.com//en/colors/browse-colors/lowes/orange/subtle-peach-2003-8c
91,6008-5A,Desert Flower,Green,,#f4e8c7,81.266,valspar.com//en/colors/browse-colors/lowes/green/desert-flower-6008-5a
92,6008-9A,Lime Kiss,Green,,#f2eabc,81.236,valspar.com//en/colors/browse-colors/lowes/green/lime-kiss-6008-9a
93,7005-2,Stillness,Blue,,#d9ede9,81.18,valspar.com//en/colors/browse-colors/lowes/blue/stillness-7005-2
94,V051-1,Glow Home,Orange,,#fbe6c1,81.006,valspar.com//en/colors/browse-colors/independent-retailers/orange/glow-home-v051-1
95,8002-21A,Grappa,Yellow,,#f8e6c8,81.0,valspar.com//en/colors/browse-colors/lowes/yellow/grappa-8002-21a
96,8002-27A,Meadow Morn,Green,,#ecebcc,81.0,valspar.com//en/colors/browse-colors/lowes/green/meadow-morn-8002-27a
97,7007-1,Dover White,White,,#eee7d9,81.0,valspar.com//en/colors/browse-colors/lowes/white/dover-white-7007-1
98,3004-6C,Evening Sun,Orange,,#fde5c2,80.998,valspar.com//en/colors/browse-colors/lowes/orange/evening-sun-3004-6c
99,V085-1,Seven Veils,Neutral,,#f9e5d2,80.95,valspar.com//en/colors/browse-colors/independent-retailers/neutral/seven-veils-v085-1
100,V175,Atmospheric,White,Popular,#e8e9e0,80.94,valspar.com//en/colors/browse-colors/independent-retailers/white/atmospheric-v175
101,V020-1,Chia,Green,,#eeebb5,80.935,valspar.com//en/colors/browse-colors/independent-retailers/green/chia-v020-1
102,7004-14,White Sash,Gray,,#e6e9e4,80.906,valspar.com//en/colors/browse-colors/lowes/gray/white-sash-7004-14
103,6006-9A,Apple Slice,Green,,#e7ebc7,80.846,valspar.com//en/colors/browse-colors/lowes/green/apple-slice-6006-9a
104,3003-8C,Kabuki Clay,Yellow,,#f4e6d1,80.768,valspar.com//en/colors/browse-colors/lowes/yellow/kabuki-clay-3003-8c
105,7006-6,Polished Ivory,White,,#f1e7d4,80.701,valspar.com//en/colors/browse-colors/lowes/white/polished-ivory-7006-6
106,T558,Champagne Toast,Neutral,The Classic Collection,#f6e6ce,80.684,valspar.com//en/colors/browse-colors/independent-retailers/neutral/champagne-toast-t558
107,M222,Welcoming White,Neutral,The Bold Collection,#f3e7d2,80.609,valspar.com//en/colors/browse-colors/independent-retailers/neutral/welcoming-white-m222
108,7002-10,Bermuda Sand,White,,#f4e6d2,80.496,valspar.com//en/colors/browse-colors/lowes/white/bermuda-sand-7002-10
109,6007-7B,Grasshopper,Green,,#ebebb9,80.493,valspar.com//en/colors/browse-colors/lowes/green/grasshopper-6007-7b
110,V163,Canterbury Cream,White,,#ece8db,80.449,valspar.com//en/colors/browse-colors/independent-retailers/white/canterbury-cream-v163
111,6004-1A,Snowed In,White,,#eae8e1,80.419,valspar.com//en/colors/browse-colors/lowes/white/snowed-in-6004-1a
